utterance	representation
How far is it from Asheville NC to Ocean Isle NC	[IN:GET_DISTANCE How far is it from [SL:SOURCE Asheville NC ] to [SL:DESTINATION Ocean Isle NC ] ]
what is the distance to east hills mall	[IN:GET_DISTANCE what is the distance to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP east hills mall ] ] ] ]
Is Jack going to the concert	[IN:GET_EVENT_ATTENDEE Is [SL:ATTENDEE_EVENT Jack ] going to [SL:CATEGORY_EVENT the concert ] ]
what is the distance between bolingbrook and new orleans	[IN:GET_DISTANCE what is the distance between [SL:SOURCE bolingbrook ] and [SL:DESTINATION new orleans ] ]
Show me a faster route	[IN:UPDATE_DIRECTIONS Show me a faster route ]
Will there be a white Christmas	[IN:UNSUPPORTED Will there be a white Christmas ]
City hall location near my house	[IN:GET_LOCATION [SL:POINT_ON_MAP City hall ] location [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS near ] [SL:LOCATION [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] ] ] ]
What's the distance between New York and France	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE New York ] and [SL:DESTINATION France ] ]
What time do I need to leave Norman to arrive in Oklahoma City by five o'clock?	[IN:GET_ESTIMATED_DEPARTURE What time do I need to leave [SL:SOURCE Norman ] to arrive in [SL:DESTINATION Oklahoma City ] [SL:DATE_TIME_ARRIVAL by five o'clock ] ? ]
Destination arrival time please	[IN:GET_ESTIMATED_ARRIVAL Destination arrival time please ]
What time should I leave to make to to the theater by 4	[IN:GET_ESTIMATED_DEPARTURE What time should I leave to make to to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the theater ] ] ] [SL:DATE_TIME_ARRIVAL by 4 ] ]
zagat rated in theater district	[IN:UNSUPPORTED zagat rated in theater district ]
If I leave right now, can i get to New York City before one o clock PM?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE right now ] , can i get to [SL:DESTINATION New York City ] [SL:DATE_TIME_ARRIVAL before one o clock PM ] ? ]
what's the distance between Greenville NC and Atlanta	[IN:GET_DISTANCE what 's the distance between [SL:SOURCE Greenville NC ] and [SL:DESTINATION Atlanta ] ]
What is required to obtain a driver licence at the age of 17 in Texas?	[IN:UNSUPPORTED What is required to obtain a driver licence at the age of 17 in Texas ? ]
I'm leaving in 10 minutes, what time should I arrive at the park?	[IN:GET_ESTIMATED_ARRIVAL I'm leaving [SL:DATE_TIME_DEPARTURE in 10 minutes ] , what time should I arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the park ] ] ] ? ]
How many miles are there between Arkansas and California	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] are there between [SL:SOURCE Arkansas ] and [SL:DESTINATION California ] ]
What time will I be home tonight	[IN:GET_ESTIMATED_ARRIVAL What time will I be [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] [SL:DATE_TIME_ARRIVAL tonight ] ]
Are any of my girlfriends attending events for toddlers this month?	[IN:UNSUPPORTED Are any of my girlfriends attending events for toddlers this month ? ]
best place to eat a gyro near me	[IN:UNSUPPORTED best place to eat a gyro near me ]
If I leave Newport by 8 am, will I get to Seaside by 3 pm?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE Newport ] [SL:DATE_TIME_DEPARTURE by 8 am ] , will I get to [SL:DESTINATION Seaside ] [SL:DATE_TIME_ARRIVAL by 3 pm ] ? ]
What is the distance between Rocky Mount and Cleveland	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Rocky Mount ] and [SL:DESTINATION Cleveland ] ]
what is the distance from Miami to Washington DC	[IN:GET_DISTANCE what is the distance from [SL:SOURCE Miami ] to [SL:DESTINATION Washington DC ] ]
Distance between  Spain and Portugal	[IN:GET_DISTANCE Distance between [SL:SOURCE Spain ] and [SL:DESTINATION Portugal ] ]
Escape the room tickets for this weekend in Philadelphia	[IN:UNSUPPORTED_EVENT Escape the room tickets for this weekend in Philadelphia ]
Is their an E-Sports Lounge with a Grill nearby	[IN:UNSUPPORTED Is their an E - Sports Lounge with a Grill nearby ]
"Where is the sign that reads """"We Love Tacos"""" in San Antonio"	"[IN:UNSUPPORTED Where is the sign that reads "" "" We Love Tacos "" "" in San Antonio ]"
Where can I get turtle food?	[IN:UNSUPPORTED Where can I get turtle food ? ]
when will i get home	[IN:GET_ESTIMATED_ARRIVAL when will i get [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
If I leave at 3pm will I make it to the doctor by 3:30?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE at 3 pm ] will I make it to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the doctor ] ] ] [SL:DATE_TIME_ARRIVAL by 3 : 30 ] ? ]
How many miles is it from Truckee to South Lake Tahoe	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE Truckee ] to [SL:DESTINATION South Lake Tahoe ] ]
Japanese fast food restaurants serving sushi on Sundays near me	[IN:UNSUPPORTED Japanese fast food restaurants serving sushi on Sundays near me ]
will I make it in time	[IN:GET_ESTIMATED_ARRIVAL will I make it in time ]
How many miles from my home to Lancaster, PA	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] home ] ] to [SL:DESTINATION Lancaster , PA ] ]
Is there another route that I can go to avoid the traffic accident	[IN:UPDATE_DIRECTIONS Is there another route that I can go to avoid [SL:OBSTRUCTION_AVOID the traffic accident ] ]
Are the buses running on schedule today	[IN:GET_ESTIMATED_DEPARTURE Are the [SL:METHOD_TRAVEL buses ] running on schedule [SL:DATE_TIME_DEPARTURE today ] ]
How far is it from the local Walmart	[IN:GET_DISTANCE How far is it from [SL:SOURCE [IN:GET_LOCATION the [SL:LOCATION_MODIFIER local ] [SL:POINT_ON_MAP Walmart ] ] ] ]
what is the distance between Tucson and Chicago	[IN:GET_DISTANCE what is the distance between [SL:SOURCE Tucson ] and [SL:DESTINATION Chicago ] ]
Eta to go home	[IN:GET_ESTIMATED_ARRIVAL Eta to go [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
What time will I arrive at the airport if I leave at 8AM	[IN:GET_ESTIMATED_ARRIVAL What time will I arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the airport ] ] ] if I leave [SL:DATE_TIME_DEPARTURE at 8AM ] ]
Show me friends that attended a local festival.	[IN:UNSUPPORTED Show me friends that attended a local festival . ]
Who posted on the franklin flea market cite?	[IN:UNSUPPORTED Who posted on the franklin flea market cite ? ]
Were any of my friends at the casino last week?	[IN:UNSUPPORTED Were any of my friends at the casino last week ? ]
Ruth Chris Steakhouse in Jacksonville, Florida	[IN:UNSUPPORTED Ruth Chris Steakhouse in Jacksonville , Florida ]
if I'm planning to drive to Kiawah island in a day when should I leave?	[IN:GET_ESTIMATED_DEPARTURE if I'm planning to [SL:METHOD_TRAVEL drive ] to [SL:DESTINATION Kiawah island ] [SL:DATE_TIME_ARRIVAL in a day ] when should I leave ? ]
Any libraries open on the weekend in Hayward	[IN:UNSUPPORTED Any libraries open on the weekend in Hayward ]
How many miles from New York to Chicago	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] from [SL:SOURCE New York ] to [SL:DESTINATION Chicago ] ]
What time should I leave to get to the airport before 6	[IN:GET_ESTIMATED_DEPARTURE What time should I leave to get to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the airport ] ] ] [SL:DATE_TIME_ARRIVAL before 6 ] ]
how can I avoid construction traffic	[IN:UPDATE_DIRECTIONS how can I avoid [SL:OBSTRUCTION_AVOID construction traffic ] ]
Will I make it Sandra Day O'Connor High School by 8 a.m. if I leave now?	[IN:GET_ESTIMATED_ARRIVAL Will I make it [SL:DESTINATION Sandra Day O'Connor High School ] [SL:DATE_TIME_ARRIVAL by 8 a.m . ] if I leave [SL:DATE_TIME_DEPARTURE now ] ? ]
What is the distance from Biloxi to Jackson	[IN:GET_DISTANCE What is the distance from [SL:SOURCE Biloxi ] to [SL:DESTINATION Jackson ] ]
When does the ice skating rink open downtown	[IN:UNSUPPORTED When does the ice skating rink open downtown ]
how far away is japan from korea	[IN:GET_DISTANCE how far away is [SL:DESTINATION japan ] from [SL:SOURCE korea ] ]
what time will i arrive at grand central market if i leave home right now	[IN:GET_ESTIMATED_ARRIVAL what time will i arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP grand central market ] ] ] if i leave [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] [SL:DATE_TIME_DEPARTURE right now ] ]
How many miles from home to Kansas City zoo?	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] from [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Kansas City zoo ] ] ] ? ]
Are there any tolls between Santos and São Paulo?	[IN:GET_INFO_ROUTE Are there any [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION tolls ] ] ] between [SL:SOURCE Santos ] and [SL:DESTINATION São Paulo ] ? ]
What is the best time to travel from A to B	[IN:GET_ESTIMATED_DEPARTURE What is the best time to travel from [SL:SOURCE A ] to [SL:DESTINATION B ] ]
what is the distance from new york to los angeles	[IN:GET_DISTANCE what is the distance from [SL:SOURCE new york ] to [SL:DESTINATION los angeles ] ]
hip downtown clubs in new york	[IN:UNSUPPORTED hip downtown clubs in new york ]
Can I get to my sisters house in tonight at 9 if I leave in 10 minutes?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION sisters ] house ] ] [SL:DATE_TIME_ARRIVAL in tonight at 9 ] if I leave [SL:DATE_TIME_DEPARTURE in 10 minutes ] ? ]
How far is Rabat from Tangier	[IN:GET_DISTANCE How far is [SL:DESTINATION Rabat ] from [SL:SOURCE Tangier ] ]
What is the distance from California to New York	[IN:GET_DISTANCE What is the distance from [SL:SOURCE California ] to [SL:DESTINATION New York ] ]
what is the distance from brooklyn new york to bulls gap tn	[IN:GET_DISTANCE what is the distance from [SL:SOURCE brooklyn new york ] to [SL:DESTINATION bulls gap tn ] ]
Is there a different route past the traffic backed up	[IN:UPDATE_DIRECTIONS Is there a different route past [SL:OBSTRUCTION_AVOID the traffic ] backed up ]
What is the distance between Arizona and California	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Arizona ] and [SL:DESTINATION California ] ]
where can I get together with people looking to join a band	[IN:UNSUPPORTED_EVENT where can I get together with people looking to join a band ]
Mileage from Las Angeles to San Diego	[IN:GET_DISTANCE [SL:UNIT_DISTANCE Mileage ] from [SL:SOURCE Las Angeles ] to [SL:DESTINATION San Diego ] ]
what's the distance between fort mill and atlanta	[IN:GET_DISTANCE what 's the distance between [SL:SOURCE fort mill ] and [SL:DESTINATION atlanta ] ]
Can I make it to Karen's house by 8pm if I leave my house now?	[IN:GET_ESTIMATED_ARRIVAL Can I make it to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Karen ] 's house ] ] [SL:DATE_TIME_ARRIVAL by 8 pm ] if I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] [SL:DATE_TIME_DEPARTURE now ] ? ]
What is the distance between San Francisco California and New York City New York	[IN:GET_DISTANCE What is the distance between [SL:SOURCE San Francisco California ] and [SL:DESTINATION New York City New York ] ]
Sundays are really fun day to wallk in lights	[IN:UNSUPPORTED Sundays are really fun day to wallk in lights ]
Show me churches close to Terrance's house.	[IN:UNSUPPORTED Show me churches close to Terrance 's house . ]
what's the distance between Texas and Mississippi	[IN:GET_DISTANCE what 's the distance between [SL:SOURCE Texas ] and [SL:DESTINATION Mississippi ] ]
How many miles is it from Houston to Milwaukee	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE Houston ] to [SL:DESTINATION Milwaukee ] ]
If I leave at 8 am, when will I arrive in Harrisburg	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE at 8 am ] , when will I arrive in [SL:DESTINATION Harrisburg ] ]
How many miles from here to Las Vegas	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Las Vegas ] ]
How many miles is it from New York to California	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE New York ] to [SL:DESTINATION California ] ]
party planner available in Destin, FL in 2 weeks	[IN:UNSUPPORTED party planner available in Destin , FL in 2 weeks ]
When will I get to Costco if I leave right now?	[IN:GET_ESTIMATED_ARRIVAL When will I get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Costco ] ] ] if I leave [SL:DATE_TIME_DEPARTURE right now ] ? ]
Is the museum event formal	[IN:UNSUPPORTED_EVENT Is the museum event formal ]
What is the distance between Fort Benning and Fort Carson	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Fort Benning ] and [SL:DESTINATION Fort Carson ] ]
is there a faster way	[IN:UPDATE_DIRECTIONS is there a faster way ]
how far is it from my house to brasilia, brazil	[IN:GET_DISTANCE how far is it from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] to [SL:DESTINATION brasilia , brazil ] ]
How many miles is in between Las Vegas and Los Angeles	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is in between [SL:SOURCE Las Vegas ] and [SL:DESTINATION Los Angeles ] ]
What time should I leave to get to the airport by 5 pm	[IN:GET_ESTIMATED_DEPARTURE What time should I leave to get to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the airport ] ] ] [SL:DATE_TIME_ARRIVAL by 5 pm ] ]
What time should i leave to reach Cairo by 7:00pm?	[IN:GET_ESTIMATED_DEPARTURE What time should i leave to reach [SL:DESTINATION Cairo ] [SL:DATE_TIME_ARRIVAL by 7 : 00 pm ] ? ]
What time should my dad leave his house to arrive at my house?	[IN:GET_ESTIMATED_DEPARTURE What time should [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION dad ] leave his house ] ] to arrive at [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] ? ]
Find fast route with less traffic	[IN:UPDATE_DIRECTIONS Find fast route with less [SL:OBSTRUCTION_AVOID traffic ] ]
How far does Mom live from Aunt Marie?	[IN:UNSUPPORTED How far does Mom live from Aunt Marie ? ]
What time will I make it to Santa Fe coming from route 72?	[IN:GET_ESTIMATED_ARRIVAL What time will I make it to [SL:DESTINATION Santa Fe ] coming from [SL:SOURCE route 72 ] ? ]
How many miles is it to Mexico from here	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it to [SL:DESTINATION Mexico ] from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ]
best days to visit farms in Homestead	[IN:UNSUPPORTED best days to visit farms in Homestead ]
What is the distance between Vista and La Jolla in meters	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Vista ] and [SL:DESTINATION La Jolla ] in [SL:UNIT_DISTANCE meters ] ]
Mileage, by flight, between Alabama and Georgia	[IN:GET_DISTANCE [SL:UNIT_DISTANCE Mileage ] , by [SL:METHOD_TRAVEL flight ] , between [SL:SOURCE Alabama ] and [SL:DESTINATION Georgia ] ]
Is there a longer route	[IN:UPDATE_DIRECTIONS Is there a longer route ]
miles from new york to philly	[IN:GET_DISTANCE [SL:UNIT_DISTANCE miles ] from [SL:SOURCE new york ] to [SL:DESTINATION philly ] ]
find the nearest rest stop	[IN:GET_LOCATION find [SL:LOCATION [IN:GET_LOCATION the [SL:LOCATION_MODIFIER nearest ] [SL:CATEGORY_LOCATION rest stop ] ] ] ]
distance between Maryland and seattle	[IN:GET_DISTANCE distance between [SL:SOURCE Maryland ] and [SL:DESTINATION seattle ] ]
how far is Atlanta from Savannah	[IN:GET_DISTANCE how far is [SL:DESTINATION Atlanta ] from [SL:SOURCE Savannah ] ]
what days does Goodwill have deals	[IN:UNSUPPORTED what days does Goodwill have deals ]
I have to pick someone up at the airport during rush hour, what time should I leave home in order to meet a 6PM flight?	[IN:GET_ESTIMATED_DEPARTURE I have to pick someone up at [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the airport ] ] ] during rush hour , what time should I leave [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] in order to meet a [SL:DATE_TIME_ARRIVAL 6PM ] flight ? ]
Tell me when we are supposed to arrive at our destination.	[IN:GET_ESTIMATED_ARRIVAL Tell me when we are supposed to arrive at [SL:DESTINATION our destination ] . ]
How do I get tickets for the Rose parade this year	[IN:UNSUPPORTED_EVENT How do I get tickets for the Rose parade this year ]
Are there any shortcuts around this traffic that would get me home quicker	[IN:UPDATE_DIRECTIONS Are there any shortcuts around [SL:OBSTRUCTION_AVOID this traffic ] that would get me [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] quicker ]
How many hours is Brooklyn	[IN:UNSUPPORTED How many hours is Brooklyn ]
If I leave here in 5 minutes when will I get to Mak Fitness Center?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME_DEPARTURE in 5 minutes ] when will I get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Mak Fitness Center ] ] ] ? ]
how far is Chicago from Tampa, FL	[IN:GET_DISTANCE how far is [SL:DESTINATION Chicago ] from [SL:SOURCE Tampa , FL ] ]
What is the distance from Florida to Honduras	[IN:GET_DISTANCE What is the distance from [SL:SOURCE Florida ] to [SL:DESTINATION Honduras ] ]
If I leave here at noon, when will I get to Panama City, Florida?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME_DEPARTURE at noon ] , when will I get to [SL:DESTINATION Panama City , Florida ] ? ]
What city has the most traffic in the US	[IN:UNSUPPORTED What city has the most traffic in the US ]
is there an alternate route i can take with less traffic	[IN:UPDATE_DIRECTIONS is there an alternate route i can take with less [SL:OBSTRUCTION_AVOID traffic ] ]
What time is happy hour at tinroof	[IN:UNSUPPORTED_EVENT What time is happy hour at tinroof ]
How far is it from San Antonio to Orlando Florida	[IN:GET_DISTANCE How far is it from [SL:SOURCE San Antonio ] to [SL:DESTINATION Orlando Florida ] ]
Suggestions to avoid traffic	[IN:UPDATE_DIRECTIONS Suggestions to avoid [SL:OBSTRUCTION_AVOID traffic ] ]
What website can I find the list of events near me	[IN:UNSUPPORTED_EVENT What website can I find the list of events near me ]
Can I leave in 15 minutes and arrive at my brother's before 6:00?	[IN:GET_ESTIMATED_ARRIVAL Can I leave [SL:DATE_TIME_DEPARTURE in 15 minutes ] and arrive at [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION brother ] ] ] 's [SL:DATE_TIME_ARRIVAL before 6 : 00 ] ? ]
Can I get to Paris before 3 am?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION Paris ] [SL:DATE_TIME_ARRIVAL before 3 am ] ? ]
Who would you like to move to a new place with?	[IN:UNSUPPORTED Who would you like to move to a new place with ? ]
How far is New York from Boston	[IN:GET_DISTANCE How far is [SL:DESTINATION New York ] from [SL:SOURCE Boston ] ]
Do I have enough time to reach the Clark Art Institute by 9 PM	[IN:GET_ESTIMATED_ARRIVAL Do I have enough time to reach [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Clark Art Institute ] ] ] [SL:DATE_TIME_ARRIVAL by 9 PM ] ]
How many miles is it from Philadelphia to Delaware	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE Philadelphia ] to [SL:DESTINATION Delaware ] ]
What about a nice boat ride in Dana Point	[IN:UNSUPPORTED What about a nice boat ride in Dana Point ]
event planner for a dogs birthday	[IN:UNSUPPORTED event planner for a dogs birthday ]
Family friendly bars near me	[IN:UNSUPPORTED Family friendly bars near me ]
I would like to be in San Antonio by Sunday. When would I need to leave my house to get there on time?	[IN:GET_ESTIMATED_DEPARTURE I would like to be in [SL:DESTINATION San Antonio ] [SL:DATE_TIME_ARRIVAL by Sunday ] . When would I need to leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] to get there on time ? ]
Can I arrive at Denver at 3pm if I leave in 30 minutes?	[IN:GET_ESTIMATED_ARRIVAL Can I arrive at [SL:DESTINATION Denver ] [SL:DATE_TIME_ARRIVAL at 3 pm ] if I leave [SL:DATE_TIME_DEPARTURE in 30 minutes ] ? ]
How many miles is it from Orlando to New York City	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE Orlando ] to [SL:DESTINATION New York City ] ]
if I leave at 1:00 p.m. what time will I get to Nashville	[IN:GET_ESTIMATED_ARRIVAL if I leave [SL:DATE_TIME_DEPARTURE at 1 : 00 p.m . ] what time will I get to [SL:DESTINATION Nashville ] ]
When was the last time Catherine wrote something on her mother's profile?	[IN:UNSUPPORTED When was the last time Catherine wrote something on her mother 's profile ? ]
When do I need to leave tonight?	[IN:GET_ESTIMATED_DEPARTURE When do I need to leave [SL:DATE_TIME_DEPARTURE tonight ] ? ]
Have any of my friends eaten at the new mexican restaurant in Athens?	[IN:UNSUPPORTED Have any of my friends eaten at the new mexican restaurant in Athens ? ]
When will I arrive to dandy mall if I leave now?	[IN:GET_ESTIMATED_ARRIVAL When will I arrive to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP dandy mall ] ] ] if I leave [SL:DATE_TIME_DEPARTURE now ] ? ]
How many miles away is the closest Walmart	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] away is [SL:DESTINATION [IN:GET_LOCATION the [SL:LOCATION_MODIFIER closest ] [SL:POINT_ON_MAP Walmart ] ] ] ]
what time can I make it to Catuaí passing through Londrina downtown without any downed power lines?	[IN:GET_ESTIMATED_ARRIVAL what time can I make it to [SL:DESTINATION Catuaí ] passing through [SL:WAYPOINT Londrina downtown ] without any [SL:OBSTRUCTION_AVOID downed power lines ] ? ]
Find How far is Poughkeepsie from New York City	[IN:GET_DISTANCE Find How far is [SL:DESTINATION Poughkeepsie ] from [SL:SOURCE New York City ] ]
What is the distance between Raleigh and Portland	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Raleigh ] and [SL:DESTINATION Portland ] ]
What is the driving distance from Bridgewater to Ludlow	[IN:GET_DISTANCE What is the [SL:METHOD_TRAVEL driving ] distance from [SL:SOURCE Bridgewater ] to [SL:DESTINATION Ludlow ] ]
Will I make it to El Paso, Texas by 5 p.m. tomorrow with the current traffic conditions?	[IN:GET_ESTIMATED_ARRIVAL Will I make it to [SL:DESTINATION El Paso , Texas ] [SL:DATE_TIME_ARRIVAL by 5 p.m . tomorrow ] with the current traffic conditions ? ]
What is the distance between Paris and Berlin	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Paris ] and [SL:DESTINATION Berlin ] ]
Are there any faster routes home	[IN:UPDATE_DIRECTIONS Are there any faster routes [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
Bars on Oahu	[IN:UNSUPPORTED Bars on Oahu ]
where is the nearest rest stop	[IN:GET_LOCATION where is the [SL:LOCATION_MODIFIER nearest ] [SL:CATEGORY_LOCATION rest stop ] ]
What time will I arrive at Jaimie's if I leave here at 8am?	[IN:GET_ESTIMATED_ARRIVAL What time will I arrive at [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Jaimie ] ] ] 's if I leave [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME_DEPARTURE at 8 am ] ? ]
How far is it to get to Chicago from Raleigh NC	[IN:GET_DISTANCE How far is it to get to [SL:DESTINATION Chicago ] from [SL:SOURCE Raleigh NC ] ]
I have to meet my cousin in Bradford at 10AM, what time do I need to leave home to get there?	[IN:GET_ESTIMATED_DEPARTURE I have to meet my cousin in [SL:DESTINATION Bradford ] [SL:DATE_TIME_ARRIVAL at 10AM ] , what time do I need to leave [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] to get there ? ]
Will I make it from SFO to the Mission District in less than an hour this afternoon	[IN:GET_ESTIMATED_ARRIVAL Will I make it from [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP SFO ] ] ] to [SL:DESTINATION the Mission District ] [SL:DATE_TIME_ARRIVAL in less than an hour ] [SL:DATE_TIME_DEPARTURE this afternoon ] ]
How far does it take to drive to Portland, OR	[IN:GET_DISTANCE How far does it take to [SL:METHOD_TRAVEL drive ] to [SL:DESTINATION Portland , OR ] ]
Who said they are going to the event at Pentangle?	[IN:UNSUPPORTED Who said they are going to the event at Pentangle ? ]
what is the distance between Los Angeles and Las Vegas	[IN:GET_DISTANCE what is the distance between [SL:SOURCE Los Angeles ] and [SL:DESTINATION Las Vegas ] ]
